estacion_codigo;zona_calidad_aire_descripcion;estacion_municipio;estacion_fecha_alta;estacion_tipo_area;estacion_tipo_estacion;estacion_subarea_rural;estacion_direccion_postal;estacion_coord_UTM_ETRS89_x;estacion_coord_UTM_ETRS89_y;estacion_coord_longitud;estacion_coord_latitud;estacion_altitud;estacion_analizador_NO;estacion_analizador_NO2;estacion_analizador_PM10;estacion_analizador_PM2_5;estacion_analizador_O3;estacion_analizador_TOL;estacion_analizador_BEN;estacion_analizador_XIL;estacion_analizador_CO;estacion_analizador_SO2;estacion_analizador_HCT;estacion_analizador_HNM,,,,
28005002;Zona 2 Corredor del Henares;Alcala de Henares;2000/03/16 00:00:00.000;Urbana;Trafico;No aplica;C.E.I.P. Manuel Azana, Avda. del Ejercito,"5;467979;4481011;-3,377949",";40,479328",;595;Si;Si;Si;Si;Si ;No;No;No;Si;Si;No;No
28006004;Zona 2 Corredor del Henares;Alcobendas;2000/01/19 00:00:00.000;Urbana;Trafico;No aplica;Parque de Andalucia, C/ Pintor Murillo,"s/n; 445363;4487950;-3,646455",";40,539523",;688;Si ;Si ;Si;No;Si ;Si;Si;Si;No;No;Si;Si
28007004;Zona 3 Urbana Sur;Alcorcon;2008/09/11 00:00:00.000;Urbana;Fondo;No aplica;Colegio Blas de Otero, Avda. del Oeste,"4;429190;4466041;-3,833739",";40,341932",;693;Si ;Si ;No;Si;Si ;No;No;No;No;No;No;No
28009001;Zona 2 Corredor del Henares;Algete;2007/03/31 00:00:00.000;Suburbana;Fondo;No aplica;Parque Europa, C/ Humilladero con C/ Francisco Quevedo,"s/n; 457418;4494449;-3,503286111",";40,59981944",;800;Si ;Si ;No;Si;Si ;No;No;No;No;No;No;No
28013002;Zona 3 Urbana Sur;Aranjuez;2001/10/06 00:00:00.000;Suburbana;Fondo;No aplica;Polideportivo Municipal Agustin Maranon, C/ Moreras (C/ Primero de Mayo,"4);449541;4431618;-3,591644444",";40,03327778",;501;Si;Si;Si;No;Si ;No;No;No;No;No;No;No
28014002;Zona 2 Corredor del Henares;Arganda del Rey;2006/04/25 00:00:00.000;Urbana;Industrial;No aplica;Punto Limpio, C/ Rio Tajuna,"5;461002;4461246;-3,458830556",";40,30069444",;586;Si;Si;Si;No;Si;No;No;No;No;No;No;No
28016001;Zona 5 Sierra Norte;El Atazar;2006/08/22 00:00:00.000;Rural;Fondo;Remota;Instalaciones del Canal de Isabel II,,"s/n; 460596;4528767;-3,467902778",";40,90901944",;995;Si;Si;Si;Si;Si ;Si;Si;Si;Si;Si;Si;Si
28045002;Zona 4 Urbana Noroeste;Colmenar Viejo;2001/10/06 00:00:00.000;Urbana;Trafico;No aplica;Auditorio Municipal, C/ Molino de Viento,"s/n;434586;4501818;-3,773865",";40,664649",;905;Si;Si;Si;No;Si;No;No;No;Si;No;No;No
28047002;Zona 4 Urbana Noroeste;Collado Villalba;2006/05/31 00:00:00.000;Urbana;Trafico;No aplica;Colegio Publico Rosa Chacel, C/ Santa Teresa de Jesus,"12;414233;4498525;-4,01425",";40,633089",;873;Si;Si;No;Si;Si;Si;Si;Si;No;Si;Si;Si
28049003;Zona 2 Corredor del Henares;Coslada;2007/06/05 00:00:00.000;Urbana;Trafico;No aplica;Polideportivo Municipal Valle Aguado, Avda. Jose Garate,"8 (C/ Peru 17);454001;4475678;-3,542261",";40,430461",;621;Si;Si;Si;Si;Si ;No;No;No;No;No;No;No
28058004;Zona 3 Urbana Sur;Fuenlabrada;2000/05/01 00:00:00.000;Urbana;Industrial;No aplica;C/ Grecia, 3 (trasera),"s/n;431913;4459313;-3,800946",";40,281505",;699;Si;Si;Si;No;Si;Si;Si;Si;No;No;Si;Si
28065014;Zona 3 Urbana Sur;Getafe;2006/10/31 00:00:00.000;Urbana;Trafico;No aplica;C.E.I.P. Mariana Pineda, Avda. de las Ciudades,"33;439090;4462920;-3,716868",";40,314518",;667;Si;Si;Si;Si;Si;No;No;No;No;No;No;No
28067001;Zona 5 Sierra Norte;Guadalix de la Sierra;2006/10/31 00:00:00.000;Rural;Fondo;Regional;Camino de Chozas, ,"s/n;440751;4514644;-3,702147222",";40,78063333",;853;Si;Si;Si;No;Si ;No;No;No;No;No;No;No
28074007;Zona 3 Urbana Sur;Leganes;2000/05/01 00:00:00.000;Urbana;Trafico;No aplica;C.E.P.A. Rosalia de Castro, C/ Roncal (Avda. de la Mancha,"50);435914;4465744;-3,754508",";40,339762",;676;Si;Si;Si;Si;Si ;No;No;No;No;No;No;No
28080003;Zona 4 Urbana Noroeste;Majadahonda;2001/10/06 00:00:00.000;Suburbana;Fondo;No aplica;Campo de golf, C/ Isaac Albeniz,"s/n;426307;4477645;-3,868994444",";40,44610278",;360;Si;Si;Si;No;Si;No;No;No;No;No;No;No
28092005;Zona 3 Urbana Sur;Mostoles;2000/05/01 00:00:00.000;Suburbana;Fondo;No aplica;Parque Liana,,"s/n; 425516; 4464113;-3,876772",";40,324225",;660;Si;Si;Si;No;Si ;No;No;No;Si;Si;No;No
28102001;Zona 7 Cuenca del Tajuna;Orusco de Tajuna;2006/09/29 00:00:00.000;Rural;Fondo;Remota;Camino forestal de acceso al repetidor de telefonia,,"s/n;481205;4459700;-3,221094444",";40,28755556 ",;800;Si;Si;Si;No;Si;No;No;No;Si;Si;No;No
28120001;Zona 5 Sierra Norte;Puerto de Cotos (Rascafria);2019/01/01 00:00:00.000;Rural;Fondo;Remota;Centro de ViSitantes Penalara, Ctra. M-604,"km 42 (Puerto de Cotos Rascafria);418948;4519788;-3,9612",";40,8251",;1870;Si;Si;Si;Si;Si ;No;No;No;No;No;No;No
28123002;Zona 2 Corredor del Henares;Rivas-Vaciamadrid;2006/08/02 00:00:00.000;Suburbana;Fondo;No aplica;Polideportivo Cerro del Telegrafo, C/ Juncal (Avda. Los Almendros,"1);453906;4467829;-3,542902778",";40,35970556",;608;Si;Si;Si;No;Si ;No;No;No;No;No;No;No
28133002;Zona 6 Cuenca del Alberche;San Martin de Valdeiglesias;2006/08/24 00:00:00.000;Rural;Fondo;Regional;C/ Deposito,,"s/n;381298;4469513;-4,398116667",";40,36775833 ",;549;Si;Si;Si;No;Si;No;No;No;No;No;No;No
28148004;Zona 2 Corredor del Henares;Torrejon de Ardoz;2005/01/01 00:00:00.000;Suburbana;Fondo;No aplica;Parque del Ocio,,"s/n;459497;4477765;-3,477645",";40,449541",;597;Si;Si;Si;Si;Si;No;No;No;No;No;No;No
28161001;Zona 3 Urbana Sur;Valdemoro;2006/07/27 00:00:00.000;Suburbana;Fondo;No aplica;Colegio Publico Pedro Antonio de Alarcon, C/ Artemisa," 5;442089;4448540;-3,680265",";40,185241 ",;615;Si;Si;No;Si;Si ;No;No;No;No;No;No;No
28171001;Zona 6 Cuenca del Alberche;Villa del Prado;2006/06/14 00:00:00.000;Rural;Fondo;Remota;Hospital Virgen de la Poveda, C/ Alejandro Peris Barrios," km. 5;391504;4456144;-4,275671",";40,248730 ",;510;Si;Si;Si;Si;Si ;No;No;No;Si;Si;No;No
28180001;Zona 7 Cuenca del Tajuna;Villarejo de Salvanes;2006/04/25 00:00:00.000;Suburbana;Trafico;No aplica;I.E.S. Nuestra Senora de la Victoria de Lepanto, C/ Luis de Requesens," 1-3;476442;4446354;-3,276569444",";40,16722778",;764;Si;Si;No;Si;Si ;No;No;No;No;No;No;No
